Region Name,Region Identifier,Region Location,Region Key,Realm Key,Availability Domains
Australia East (Sydney),ap-sydney-1,"Sydney, Australia",SYD,OC1,1
Australia Southeast (Melbourne),ap-melbourne-1,"Melbourne, Australia",MEL,OC1,1
Brazil East (Sao Paulo),sa-saopaulo-1,"Sao Paulo, Brazil",GRU,OC1,1
Brazil Southeast (Vinhedo),sa-vinhedo-1,"Vinhedo, Brazil",VCP,OC1,1
Canada Southeast (Montreal),ca-montreal-1,"Montreal, Canada",YUL,OC1,1
Canada Southeast (Toronto),ca-toronto-1,"Toronto, Canada",YYZ,OC1,1
Chile Central (Santiago),sa-santiago-1,"Santiago, Chile",SCL,OC1,1
Chile West (Valparaiso),sa-valparaiso-1,"Valparaiso, Chile",VAP,OC1,1
Colombia Central (Bogota),sa-bogota-1,"Bogota, Colombia",BOG,OC1,1
France Central (Paris),eu-paris-1,"Paris, France",CDG,OC1,1
France South (Marseille),eu-marseille-1,"Marseille, France",MRS,OC1,1
Germany Central (Frankfurt),eu-frankfurt-1,"Frankfurt, Germany",FRA,OC1,3
India South (Hyderabad),ap-hyderabad-1,"Hyderabad, India",HYD,OC1 ,1
India West (Mumbai),ap-mumbai-1,"Mumbai, India",BOM,OC1 ,1
Israel Central (Jerusalem),il-jerusalem-1,"Jerusalem, Israel",MTZ,OC1,1
Italy Northwest (Milan),eu-milan-1,"Milan, Italy",LIN,OC1,1
Japan Central (Osaka),ap-osaka-1,"Osaka, Japan",KIX,OC1,1
Japan East (Tokyo),ap-tokyo-1,"Tokyo, Japan",NRT,OC1,1
Mexico Central (Queretaro),mx-queretaro-1,"Queretaro, Mexico",QRO,OC1,1
Mexico Northeast (Monterrey),mx-monterrey-1,"Monterrey, Mexico",MTY,OC1,1
Netherlands Northwest (Amsterdam),eu-amsterdam-1,"Amsterdam, Netherlands",AMS,OC1,1
Saudi Arabia West (Jeddah),me-jeddah-1,"Jeddah, Saudi Arabia",JED,OC1,1
Serbia Central (Jovanovac),eu-jovanovac-1,"Jovanovac,Serbia",BEG,OC20,1
Singapore (Singapore),ap-singapore-1,"Singapore,Singapore",SIN,OC1,1
Singapore West (Singapore),ap-singapore-2,"Singapore,Singapore",XSP,OC1,1
South Africa Central (Johannesburg),af-johannesburg-1,"Johannesburg, South Africa",JNB,OC1,1
South Korea Central (Seoul),ap-seoul-1,"Seoul, South Korea",ICN,OC1,1
South Korea North (Chuncheon),ap-chuncheon-1,"Chuncheon, South Korea",YNY,OC1,1
Spain Central (Madrid),eu-madrid-1,"Madrid, Spain",MAD,OC1,1
Sweden Central (Stockholm),eu-stockholm-1,"Stockholm, Sweden",ARN,OC1,1
Switzerland North (Zurich),eu-zurich-1,"Zurich, Switzerland",ZRH,OC1,1
UAE Central (Abu Dhabi),me-abudhabi-1,"Abu Dhabi, UAE",AUH,OC1,1
UAE East (Dubai),me-dubai-1,"Dubai, UAE",DXB,OC1,1
UK South (London),uk-london-1,"London, United Kingdom",LHR,OC1,3
UK West (Newport),uk-cardiff-1,"Newport, United Kingdom",CWL,OC1,1
US East (Ashburn),us-ashburn-1,"Ashburn, VA",IAD,OC1,3
US Midwest (Chicago),us-chicago-1,"Chicago, IL",ORD,OC1,3
US West (Phoenix),us-phoenix-1,"Phoenix, AZ ",PHX,OC1,3
US West (San Jose),us-sanjose-1,"San Jose, CA ",SJC,OC1,1
